,WIN1!_open,WIN1!_high,WIN1!_low,WIN1!_close,WIN1!_target(%),WIN1!_target($),WIN1!_target(bi),f9,f1,f2,f3,f4,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,last_update
2005-05-16,24000.0,24608.0,24000.0,24608.0,0.00767346938775515,188.0,1,0.019978446489264723,0.3148,1.0274151436031331,0.03415012608863002,0.019978446489264723,0.0008948181892134421,-0.019015347817420758,-0.022922101384537763,,,,-0.008536256275875908,-0.001330891607619089,-0.0006234489296065126,,,,-0.006260812258011339,-0.027635373277795527,0.0007214428857715838,-0.007681321650519157,0.01009825327510927,-0.005814404217381219,0.03777303994529135,0.0032123353678124023,1.0253333333333334,,0.0003760759801838482,,0.01939267852009743,2025-06-23 21:45:06.610580
2005-05-17,24500.0,24750.0,24200.0,24688.0,0.01963488843813388,484.0,1,0.0032509752925877766,0.2965,0.9693977636827306,0.032317321999016366,0.0032509752925877766,0.006293409854240872,-0.015154839456037461,-0.01912639951687367,,,,-0.0019890641736365565,-0.0005054738734291519,-0.00046090016497712385,,,,0.019978446489264723,-0.006260812258011339,-0.027635373277795527,-0.029484985218608983,-0.007681321650519157,0.01009825327510927,-0.005814404217381219,-0.005003202049311595,1.0227272727272727,,0.000376817771366377,,0.019411794645688405,2025-06-23 21:45:06.610580
2005-05-18,24650.0,25150.0,24650.0,25134.0,0.010707070707070665,265.0,1,0.018065456902138788,0.2997,0.9796038438909591,0.029218558358296787,0.018065456902138788,0.023088070078317147,0.005299682019078933,3.183040758836242e-05,,,,0.0014797386296368843,-0.0024762321777444087,-0.001261218457997032,,,,0.0032509752925877766,0.019978446489264723,-0.006260812258011339,0.0007214428857715838,-0.029484985218608983,-0.007681321650519157,0.01009825327510927,0.03777303994529135,1.0202839756592292,,0.0003314444432604283,,0.018205615706710615,2025-06-23 21:45:06.610580
2005-05-19,24750.0,25050.0,24750.0,25015.0,-0.009800000000000031,-245.0,0,-0.004734622423808399,0.3002,0.987110351177167,0.026321445143607475,-0.004734622423808399,0.012171140477943876,0.0030796128028485192,-0.003989615850162442,,,,0.00605988880043431,-0.0023682539983871263,-0.0005640026382020713,,,,0.018065456902138788,0.0032509752925877766,0.019978446489264723,-0.027635373277795527,0.0007214428857715838,-0.029484985218608983,-0.007681321650519157,-0.005814404217381219,1.0121212121212122,,0.0003156005145511398,,0.01776514887500636,2025-06-23 21:45:06.610580
2005-05-20,25000.0,25000.0,24750.0,24755.0,-0.01810865191146882,-450.0,0,-0.010393763741754936,0.2768,0.9301075268817205,0.026785251152818296,-0.010393763741754936,-0.003421900161030611,-0.0027393949160052777,-0.013684111967073642,,,,0.005233298503685591,-0.004417455700073547,-0.0005221144706100134,,,,-0.004734622423808399,0.018065456902138788,0.0032509752925877766,-0.006260812258011339,-0.027635373277795527,0.0007214428857715838,-0.029484985218608983,0.01009825327510927,1.0101010101010102,,0.0003146948847077086,,0.01773964161722859,2025-06-23 21:45:06.610580
2005-05-23,24850.0,24850.0,24350.0,24400.0,0.021942148760330626,531.0,1,-0.014340537265198905,0.274,0.9466556108347153,0.030029122085782758,-0.014340537265198905,-0.01606555261629783,-0.011833696470950339,-0.025492944808553242,,,,-0.001630498247207135,-0.005083377261541522,-0.002261460983132618,,,,-0.010393763741754936,-0.004734622423808399,0.018065456902138788,0.019978446489264723,-0.006260812258011339,-0.027635373277795527,0.0007214428857715838,-0.007681321650519157,1.0205338809034907,,0.0002984193045914419,,0.017274817063906694,2025-06-23 21:45:06.610580
2005-05-24,24200.0,24731.0,24200.0,24731.0,0.0035772357723578008,88.0,1,0.013565573770491834,0.2764,0.9683974493728538,0.03523462306811426,0.013565573770491834,-0.0030636513887208894,0.0024604483934123067,-0.010378005910281263,,,,0.00043242144837367656,-0.0007783213626314401,-0.0017530842592215433,,,,-0.014340537265198905,-0.010393763741754936,-0.004734622423808399,0.0032509752925877766,0.019978446489264723,-0.006260812258011339,-0.027635373277795527,-0.029484985218608983,1.0219421487603306,,0.0003096454176365397,,0.017596744518135726,2025-06-23 21:45:06.610580
2005-05-25,24600.0,24840.0,24520.0,24688.0,0.021099077416766976,526.0,1,-0.0017387085034976657,0.2663,0.9553705962545741,0.04311332246400372,-0.0017387085034976657,-0.0012056089134145909,0.0018545346822333997,-0.010225293217950515,-0.05672261189412875,,,-0.0035284116327536142,-0.001024336501558365,-0.001731027858783346,,,,0.013565573770491834,-0.014340537265198905,-0.010393763741754936,0.018065456902138788,0.0032509752925877766,0.019978446489264723,-0.006260812258011339,0.0007214428857715838,1.0130505709624795,,0.00030963533129342775,,0.017596457918951407,2025-06-23 21:45:06.610580
2005-05-27,24930.0,25500.0,24930.0,25456.0,0.007834645669291262,199.0,1,0.03110823071937774,0.288,1.0423452768729642,0.05050584658179066,0.03110823071937774,0.026203337902120483,0.028105702319457526,0.019045045586012943,-0.02489705416534682,,,0.0036401589958836135,0.0048500238981589614,0.0016227764368016762,-0.0022901229383467435,,,-0.0017387085034976657,0.013565573770491834,-0.014340537265198905,-0.004734622423808399,0.018065456902138788,0.0032509752925877766,0.019978446489264723,-0.027635373277795527,1.022864019253911,0.00032609638584865224,0.0002928614625057987,0.0180581390472178,0.01711319556674903,2025-06-23 21:45:06.610580
2005-05-30,25400.0,25599.0,25400.0,25599.0,-0.002309197651663375,-59.0,0,0.005617536140791968,0.2886,1.035670709825594,0.05414102896940337,0.005617536140791968,0.024993193138683756,0.02776684840649768,0.02334599240455737,-0.016589785491177622,,,0.006842418972392994,0.006037858738039292,0.0015151780091374855,-0.002571097546555259,,,0.03110823071937774,-0.0017387085034976657,0.013565573770491834,-0.010393763741754936,-0.004734622423808399,0.018065456902138788,0.0032509752925877766,-0.006260812258011339,1.0078346456692913,0.00031729933220258884,0.0002917006355790164,0.017812897917031605,0.017079245755565915,2025-06-23 21:45:06.610580
